Type,Name,Date Added,Modified History,Description
Theme,MEDIA_SOCIAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"Any mention of social media such as Facebook, Twitter, etc.  Often flags mentions of ""follow me on twitter"", but useful proxy for discussion of social media"
Theme,MEDICAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"More narrowly focused on healthcare like nurses, health services, addiction treatment, etc"
Theme,MEDICAL_SECURITY,2014-02-20 00:00:00,2014-02-20 00:00:00,"Access to doctors, healthcare, poor medical access, etc."
Theme,MIL_SELF_IDENTIFIED_ARMS_DEAL,2013-10-13 00:00:00,2013-11-04 00:00:00,"Only actual mentions of ""arms deal"", ""weapons sale"", etc - doesn't determine that a sale of AK47's is an arms sale, requires the text to explicitly label it as such"
Theme,MIL_WEAPONS_PROLIFERATION,2013-11-04 00:00:00,2013-11-04 00:00:00,Weapons proliferation
Theme,MILITARY,2013-10-13 00:00:00,2013-10-13 00:00:00,General discussion of the military
Theme,MILITARY_COOPERATION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of military ties, military aid, defense cooperation, etc (where the text explicitly labels it as such)"
Theme,MOVEMENT_ENVIRONMENTAL,2013-11-04 00:00:00,2013-11-04 00:00:00,Environmental movements
Theme,MOVEMENT_GENERAL,2013-11-04 00:00:00,2013-11-04 00:00:00,"General discussion of movements, activists, etc"
Theme,MOVEMENT_OTHER,2013-11-04 00:00:00,2013-11-04 00:00:00,"Catchall for movements such as equality movements, religious movements, youth movements, labor movements, etc"
Theme,MOVEMENT_SOCIAL,2013-11-04 00:00:00,2013-11-04 00:00:00,General discussion of social-related movements
Theme,MOVEMENT_WOMENS,2013-11-04 00:00:00,2013-11-04 00:00:00,Women-specific movements
Theme,NATURAL_DISASTER,2013-10-13 00:00:00,2013-10-13 00:00:00,"From floods to coldsnaps, wildfires to tornadoes"
Theme,NEGOTIATIONS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of bargaining, negotations, etc."
Theme,NEW_CONSTRUCTION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mentions of new construction, new roads, etc"
Theme,ORGANIZED_CRIME,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of gangs, mafia, organized crime, etc"
Theme,PEACEKEEPING,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mentions of peacekeepers, UN forces, etc"
Theme,PERSECUTION,2013-11-04 00:00:00,2013-11-04 00:00:00,"Actual mentions of ""persecution"""
Theme,PHONE_OUTAGE,2014-02-20 00:00:00,2014-02-20 00:00:00,Interruption of phone service.
Theme,PIPELINE_INCIDENT,2014-02-20 00:00:00,2014-02-20 00:00:00,Pipeline explosion or damage.
Theme,PIRACY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Piracy, hijacking, etc (but not software/music/etc piracy)"
Theme,POL_HOSTVISIT,2014-10-01 00:00:00,2014-10-01 00:00:00,Hosting a visit
Theme,POLITICAL_PRISONER,2013-10-13 00:00:00,2013-10-13 00:00:00,Explicit mention of political prisoners or labor camps
Theme,POLITICAL_TURMOIL,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of major unrest such as martial law, political ""crisis"", state of emergency, violent supression, etc."
Theme,POPULATION_DENSITY,2014-05-17 00:00:00,2014-05-17 00:00:00,Population density
Theme,POVERTY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Poverty, homeless, destitute"
Theme,POWER_OUTAGE,2013-10-25 00:00:00,2013-10-25 00:00:00,"Mentions of power failures - these are also captured under MANMADE_DISASTER, but are broken out here so that they can be specifically selected"
Theme,PRIVATIZATION,2014-02-20 00:00:00,2014-02-20 00:00:00,Mention of privatization or deregulation.
Theme,PROPAGANDA,2013-10-13 00:00:00,2013-10-13 00:00:00,"Explicit mention of ""propaganda"""
Theme,PROPERTY_RIGHTS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of property rights, land tenure, eminent domain, land confiscation"
Count,PROTEST,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of protesting, demonstrating, rioting, striking, activists, agitators, etc"
Theme,PUBLIC_TRANSPORT,2013-10-13 00:00:00,2013-10-13 00:00:00,Public transportation from buses to subways
Theme,RAIL_INCIDENT,2014-02-20 00:00:00,2014-02-20 00:00:00,"Train accidents, derailments, etc."
Theme,RAPE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Rape, sexual slavery, sex crime, etc"
Theme,RATIFY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mention of something actually being adopted, signed into law, ratified, etc"
Theme,REBELLION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mutinies, uprisings, civil war, etc"
Theme,REBELS,2014-05-14 00:00:00,2014-05-14 00:00:00,Self-identified discussion of rebels
Theme,RECRUITMENT,2014-05-11 00:00:00,2014-05-11 00:00:00,Recruitment
Count,REFUGEES,2013-10-13 00:00:00,2013-10-13 00:00:00,"Refugees, displaced persons, forced migration, asylum seekers"
Theme,REL_ANTISEMITISM,2014-10-01 00:00:00,2014-10-01 00:00:00,Anti-semitism
Theme,RELATIONS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Narrow focus on ""improving relations"", ""restarting talks"", ""bilateral talks"", etc"
Theme,RELEASE_HOSTAGE,2013-10-13 00:00:00,2013-10-13 00:00:00,A hostage being released
Theme,RELEASE_PRISON,2013-10-13 00:00:00,2013-10-13 00:00:00,Someone being released from prison/jail
Theme,RELIGION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Just mention of terms like ""religion"" or ""secular"", not actual religions"
Theme,RESIGNATION,2013-10-13 00:00:00,2013-10-13 00:00:00,A resignation
Theme,RETALIATE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""reprisals"", ""avenge"", ""strike back"", etc"
Theme,RETIREMENT,2014-02-20 00:00:00,2014-02-20 00:00:00,"Any mention of ""retirement"" (not ""retiring"", etc) or pensions."
Theme,RETIREMENTS,2013-10-13 00:00:00,2013-10-13 00:00:00,A retirement
Theme,ROAD_INCIDENT,2014-02-20 00:00:00,2014-02-20 00:00:00,"Bridge/road failure, crashes, and accidents."
Theme,RURAL,2014-05-21 00:00:00,2014-05-21 00:00:00,Discussion of the rural environment
Theme,SANCTIONS,2013-10-13 00:00:00,2013-10-13 00:00:00,Sanctions and embargoes
Theme,SANITATION,2014-02-20 00:00:00,2014-02-20 00:00:00,"Any mention related to sanitation, toilets, etc"
Theme,SCANDAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mention of scandal, disgraced, etc, where it has been self-identified in the text as a scandal"
Theme,SCIENCE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Just mentions of scientist, researcher, invention, innovation, scientific discovery, etc"
Theme,SECURITY_SERVICES,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of primarily internal security services like police, law enforcement, secret police, and also peacekeepers"
Theme,SEIGE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Seiges, besieging, blockades, checkpoints, etc"
Count,SEIZE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Something being seized (often drugs, illegal materials, etc)"
Theme,SELF_IDENTIFIED_ATROCITY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Only captures atrocities identified as such in the text (atrocity, genocide, war crime, etc), not actions that could be construed as a crime, but where the text does not draw that distinction"
Theme,SELF_IDENTIFIED_ENVIRON_DISASTER,2013-10-13 00:00:00,2013-10-13 00:00:00,"Articles where the text explicitly mentions ""ecological disaster"", ""environmental catastrophe"", etc"
Theme,SELF_IDENTIFIED_HUMAN_RIGHTS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mentions of ""human rights"", ""political freedom"", ""religious freedom"", ""freedom of speech"", etc - only explicit mentions where the text explicitly identified a human rights issue"
Theme,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,2013-10-13 00:00:00,2013-10-13 00:00:00,"Humanitarian crises, aid, disasters, disaster relief, etc"
Theme,SEPARATISTS,2014-05-13 00:00:00,2014-05-13 00:00:00,Self-identified discussion of separatists
Theme,SHORTAGE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Shortages, blackouts, brownouts, rationing, etc of anything"
Count,SICKENED,2013-10-25 00:00:00,2013-10-25 00:00:00,This category counts anything being sickened
Theme,SLFID_CAPACITY_BUILDING,2014-05-01 00:00:00,2014-05-01 00:00:00,Self-identified discussion of capacity building
Theme,SLFID_CIVIL_LIBERTIES,2014-04-29 00:00:00,2014-04-29 00:00:00,Self-identified discussion of civil liberties
Theme,SLFID_DICTATORSHIP,2014-04-28 00:00:00,2014-04-28 00:00:00,Self-identified discussion of dictatorship
Theme,SLFID_ECONOMIC_DEVELOPMENT,2014-04-30 00:00:00,2014-04-30 00:00:00,Self-identified discussion of economic development
Theme,SLFID_ECONOMIC_POWER,2014-04-24 00:00:00,2014-04-24 00:00:00,Self-identified discussion of economic power
Theme,SLFID_MILITARY_BUILDUP,2014-05-07 00:00:00,2014-05-07 00:00:00,Self-identified discussion of military buildup
Theme,SLFID_MILITARY_READINESS,2014-05-08 00:00:00,2014-05-08 00:00:00,Self-identified discussion of military readiness
Theme,SLFID_MILITARY_SPENDING,2014-04-27 00:00:00,2014-04-27 00:00:00,Self-identified discussion of military spending
Theme,SLFID_MINERAL_RESOURCES,2014-04-19 00:00:00,2014-04-19 00:00:00,"Self-identified discussion of mineral wealth, mineral resources, mineral exports"
Theme,SLFID_NATURAL_RESOURCES,2014-05-10 00:00:00,2014-05-10 00:00:00,Self-identified discussion of natural resources
Theme,SLFID_PEACE_BUILDING,2014-05-02 00:00:00,2014-05-02 00:00:00,Self-identified discussion of peace building
Theme,SLFID_POLITICAL_BOUNDARIES,2014-04-23 00:00:00,2014-04-23 00:00:00,Self-identified discussion of political boundaries
Theme,SLFID_RULE_OF_LAW,2014-05-09 00:00:00,2014-05-09 00:00:00,Self-identified discussion of rule of law
Theme,SLUMS,2013-11-04 00:00:00,2013-11-04 00:00:00,"Slums, shantytowns, etc"
Theme,SMUGGLING,2013-11-04 00:00:00,2013-11-04 00:00:00,"Smuggling of anything, including arms traficking"
Theme,SOC_DIPLOMCOOP,2014-10-01 00:00:00,2014-10-01 00:00:00,Diplomatic cooperation
Theme,SOC_ECONCOOP,2014-10-01 00:00:00,2014-10-01 00:00:00,Economic cooperation
Theme,SOC_EXPRESSREGRET,2014-10-01 00:00:00,2014-10-01 00:00:00,Expressing regret
Theme,SOC_EXPRESSSUPPORT,2014-10-01 00:00:00,2014-10-01 00:00:00,"Expressing support for a person, action, or similar"
Theme,SOC_FORCEDRELOCATION,2014-10-01 00:00:00,2014-10-01 00:00:00,Forced relocation
Theme,SOC_GENERALCRIME,2014-10-01 00:00:00,2014-10-01 00:00:00,Relating to general criminal activity
Theme,SOC_INTELSHARING,2014-10-01 00:00:00,2014-10-01 00:00:00,Intelligence sharing
Theme,SOC_JUDICIALCOOP,2014-10-01 00:00:00,2014-10-01 00:00:00,Judicial cooperation
Theme,SOC_MASSMIGRATION,2014-10-01 00:00:00,2014-10-01 00:00:00,Forced migration
Theme,SOC_PARDON,2014-10-01 00:00:00,2014-10-01 00:00:00,Relating to pardoning
Theme,SOC_SUICIDE,2014-10-01 00:00:00,2014-10-01 00:00:00,Relating to suicide
Theme,SOC_SUSPICIOUSACTIVITIES,2014-10-01 00:00:00,2014-10-01 00:00:00,"Specific mentions of ""suspicious"" activities"
Theme,SOC_SUSPICIOUSPEOPLE,2014-10-01 00:00:00,2014-10-01 00:00:00,"Specific mentions of ""suspicious"" persons"
Theme,SOC_TRAFFICACCIDENT,2014-10-01 00:00:00,2014-10-01 00:00:00,Traffic accidents
Theme,SOVEREIGNTY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""sovereignty"", ""proclaim independence"", ""independent state"", etc"
Theme,STATE_OF_EMERGENCY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Martial law, state of emergency, emergency rule, etc"
Theme,STRIKE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Strikes, work stoppages, lock outs, etc"
Theme,SUICIDE_ATTACK,2013-10-13 00:00:00,2013-10-13 00:00:00,Suicide attacks
Theme,SURVEILLANCE,2014-02-20 00:00:00,2014-02-20 00:00:00,"Surveillance, spying."
Theme,TAKE_OFFICE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mention of someone taking office either through force or through normal channels (took office, seized office, etc)"
Taxonomy,TAX_CARTELS,2013-10-18 00:00:00,2013-10-18 00:00:00,Returns any mention of a major recognized drug cartel
Taxonomy,TAX_DISEASE,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns any mention of a major infectious disease
Taxonomy,TAX_ETHNICITY,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns any mention of a major ethnicity from around the world (expands CAMEOETH)
Taxonomy,TAX_FNCACT,2013-10-13 00:00:00,2013-10-25 00:00:00,"Returns any mention of a ""functional actor"", which is essentially a ""role"" from a ""child"" to a ""burgler"" to get a better understanding of the specific roles of people involved "
Taxonomy,TAX_FOODSTAPLES,2013-11-27 00:00:00,2013-11-27 00:00:00,"Captures a cross-section of major food staples like bread, rice, etc"
Taxonomy,TAX_MILITARY_TITLE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Returns any mention of a major military title such as Captain, 1st Lieutenant, etc"
Taxonomy,TAX_POLITICAL_PARTY,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns any mention of a major recognized political party around the world
Taxonomy,TAX_RELIGION,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns any mention of a major religion from around the world (expands CAMEOREL)
Taxonomy,TAX_SPECIAL_ISSUES,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns mentions of special issues such as certain major laws and will eventually be replaced by a new tracking system for those
Taxonomy,TAX_SPECIALDEATH,2014-10-01 00:00:00,2014-10-01 00:00:00,Special kinds of death such as beheadings
Taxonomy,TAX_TERROR_GROUP,2013-10-13 00:00:00,2013-10-13 00:00:00,Returns any mention of a major recognized terror group around the world
Taxonomy,TAX_WEAPONS,2014-10-01 00:00:00,2014-10-01 00:00:00,Specific weaponry
Theme,TERROR,2013-10-13 00:00:00,2013-10-13 00:00:00,"Primary discussion of terrorists, bombings, assasinations, etc"
Theme,TORTURE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Just mentions of the term ""torture"", not actual torture techniques like waterboarding"
Theme,TOURISM,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""tourism"", ""tourists"", etc, not related terms"
Theme,TRAFFIC,2014-02-20 00:00:00,2014-02-20 00:00:00,Road traffic.
Theme,TRANSPARENCY,2014-02-20 00:00:00,2014-02-20 00:00:00,Any mention of transparency or accountability.
Theme,TREASON,2013-10-13 00:00:00,2013-10-13 00:00:00,"Treason, sedition, insurrection."
Theme,TRIAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"Trail, courts, judges, lawyers, lawsuits, etc"
Theme,UNEMPLOYMENT,2013-10-13 00:00:00,2013-10-13 00:00:00,"Joblessness, unemployment"
Theme,UNGOVERNED,2014-05-12 00:00:00,2014-05-12 00:00:00,Ungoverned spaces
Theme,UNREST_CHECKPOINT,2014-10-01 00:00:00,2014-10-01 00:00:00,Relating to checkpoints
Theme,UNREST_CLOSINGBORDER,2014-10-01 00:00:00,2014-10-01 00:00:00,Closing borders
Theme,UNREST_HUNGERSTRIKE,2014-10-01 00:00:00,2014-10-01 00:00:00,Hunger strikes
Theme,UNREST_MOLOTOVCOCKTAIL,2014-10-01 00:00:00,2014-10-01 00:00:00,Molotov cocktails
Theme,UNREST_POLICEBRUTALITY,2014-10-01 00:00:00,2014-10-01 00:00:00,Police brutality
Theme,UNREST_STONETHROWING,2014-10-01 00:00:00,2014-10-01 00:00:00,Stone throwing
Theme,UNREST_STONING,2014-10-01 00:00:00,2014-10-01 00:00:00,Stoning
Theme,UNSAFE_WORK_ENVIRONMENT,2014-02-20 00:00:00,2014-02-20 00:00:00,"Work injuries, killed on the job, working conditions, etc."
Theme,URBAN,2014-05-20 00:00:00,2014-05-20 00:00:00,Discussion of the urban environment
Theme,URBAN_SPRAWL,2014-05-16 00:00:00,2014-05-16 00:00:00,Urban sprawl
Theme,VANDALIZE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Vandalizing, desecration, defacing"
Theme,VETO,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""veto"", ""voted against"", etc"
Theme,VIOLENT_UNREST,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of violent unrest, from rubber bullets, firing into a crowd, clashes with police or soldiers, violent rioting, etc"
Theme,WATER_SECURITY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Drought, water access, lack of rain, clean water, etc"
Theme,WHISTLEBLOWER,2013-10-13 00:00:00,2013-10-13 00:00:00,"Whistleblowers, document leaks, etc"
Theme,WMD,2013-10-13 00:00:00,2013-10-13 00:00:00,"Weapons of mass distruction, from nuclear to biological to chemical warfare"
Count,WOUND,2013-10-13 00:00:00,2013-10-13 00:00:00,Any mention of something being wounded or injured
